familia;codigo;descricao;representante;
CBH7;CBH7 FO SS RD P750(I) M21;Carreta Hidráulica 7t (9m3) RD de 1 Eixo - FORRAGEIRA - C/ PNEUS - Molas e Freios não Incluídos;Galo;25
CBH7;CBH7 FO SS T M21;Carreta Hidráulica 7t (9m3) de Eixo Tandem - FORRAGEIRA - Molas, Freios e Pneus não Incluídos;Galo;16
CBH7;CBH7 FO SS T MM M21;Carreta Hidráulica 7t (9m3) de Eixo Tandem - FORRAGEIRA - C/ MANG MAIORES - Molas, Freios e Pneus não Incluídos;Galo;19
CBH7;CBH7 FO SS T MM P750(I) M21;Carreta Hidráulica 7t (9m3) de Eixo Tandem - FORRAGEIRA - C/ MANG MAIORES + PNEUS - Molas e Freios não Incluídos;Galo;27
CBH7;CBH7 FO SS T P750(I) M21;Carreta Hidráulica 7t (9m3) Eixo Tandem - FORRAGEIRA - C/ PNEUS - Molas e Freios não Incluídos;Galo;24
CBH7;CBH7 FO SS T R15,5 M21;"Carreta Hidráulica 7t (9m3) de Eixo Tandem - FORRAGEIRA - RODA 15,5"" - Molas, Freios não Incluídos+";Galo;22
CBH7;CBH7 FO SS T R15,5 P400 M21;"Carreta Hidráulica 7t (9m3) de Eixo Tandem - FORRAGEIRA - RODA 15,5"" - C/ PNEUS 400/60 - Molas, Freios não Incluídos";Galo;27
CBH7;CBH7 FO-1M SS RD M21;Carreta Hidráulica 7t (6m3) RD de 1 Eixo - FORRAGEIRA 1M - Molas, Freios e Pneus não Incluídos;Galo;20
CBH7;CBH7 FO-1M SS RD P750(I) M21;Carreta Hidráulica 7t (6m3) RD de 1 Eixo - FORRAGEIRA 1M - C/ PNEUS - Molas e Freios não Incluídos;Galo;28
CBH7;CBH7 FO-1M SS T M21;Carreta Hidráulica 7t (6m3) de Eixo Tandem - FORRAGEIRA 1M - Molas, Freios e Pneus não Incluídos;Galo;19
CBH7;CBH7 UG SC RD M21;Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos;Galo;17
CBH7;CBH7 UG SS RD M21;Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - Molas, Freios e Pneus não Incluídos;Galo;17
CBH7;CBH7 UG SS RD P750(I) M21;Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ PNEUS - Molas e Freios não Incluídos;Galo;25
CBH7;CBH7 UG SS T M21;Carreta Hidráulica 7t (4m3) de Eixo Tandem - USO GERAL - Molas, Freios e Pneus não Incluídos;Galo;16
CBH7-2E;CBH7-2E FO SS R15,5 RS/RS M23;Carreta Hidráulica 7t (9m3) RS/RS de 2 Eixos - P/ PNEU ALTA FLUTUAÇÃO - FORRAGEIRA - Molas, Freios e Pneus não Incluídos;Galo;29
CBH7-2E;CBH7-2E FO SS RS/RD M21;Carreta Hidráulica 7t (9m3) RS/RD de 2 Eixos - FORRAGEIRA - Molas, Freios e Pneus não Incluídos;Galo;23
CBH7-2E;CBH7-2E FO SS RS/T M21;Carreta Hidráulica 7t (9m3) RS/T de 2 Eixos - FORRAGEIRA - Molas, Freios e Pneus não Incluídos;Galo;22
CBH7-2E;CBH7-2E FO SS RS/T R15,5 M21;Carreta Hidráulica 7t (9m3) RS/T de 2 Eixos - FORRAGEIRA - ALTA FLUTUAÇÃO - Molas, Freios e Pneus não Incluídos;Galo;28
CBH7-2E;CBH7-2E FO SS RS/T R15,5 P400 M21;Carreta Hidráulica 7t (9m3) RS/T de 2 Eixos - FORRAGEIRA - C/ PNEUS ALTA FLUTUAÇÃO - Molas, Freios não Incluídos;Galo;33
CBH7-2E;CBH7-2E UG SS RS/RD M21;Carreta Hidráulica 7t (4m3) RS/RD de 2 Eixos - USO GERAL - Molas, Freios e Pneus não Incluídos;Galo;23
CBH9;CBH9 SS T R15,5 M22;Carreta Hidráulica 9t (14m3) de Eixo Tandem – FORRAGEIRA - Molas, Freios e Pneus não Incluídos;Galo;19
CBH9;CBH9 SS T R15,5 P400 M22;Carreta Hidráulica 9t (14m3) de Eixo Tandem – FORRAGEIRA - C/ PNEUS 400 - Molas e Freios não Incluídos;Galo;24
CBH9-2E;CBH9-2E SS RS/RS R15,5 M22;"Carreta Hidráulica 9t (14m3) RS/RS de 2 Eixos - FORRAGEIRA - RODA 15,5"" - Molas, Freios e Pneus não Incluídos";Galo;26
CBH9-2E;CBH9-2E SS RS/RS R15,5 P400 M22;"Carreta Hidráulica 9t (14m3) RS/RS de 2 Eixos - FORRAGEIRA - RODA 15,5"" - C/ PNEUS 400/60 - Molas e Freios não Incluídos";Galo;31
CBHL6000;CBHL6000 CS RS/RS M20;Carreta Hidráulica 5t (6m3) RS/RS de 2 Eixos - TRIBASCULANTE - C/ MOLAS - Freios e Pneus não Incluídos;Galo;21
CBHM10000;CBHM10000 SS RD M17;Carreta Hidráulica 7t (10m3) RD de 1 Eixo – FORRAGEIRO - Molas, Freios e Pneus não Incluídos;Galo;19
CBHM10000;CBHM10000 SS T R15,5 M20;Carreta Hidráulica 7t (10m3) de Eixo Tandem - FORRAGEIRA - Molas, Freios e Pneus não Incluídos;Galo;24
CBHM10000;CBHM10000 SS T R15,5 P400 M20;Carreta Hidráulica 7t (10m3) de Eixo Tandem - FORRAGEIRA - PNEUS 400/60 - Molas e Freios não Incluídos;Galo;29
CBHM10000-2E;CBHM10000-2E SS RS/RD M17;Carreta Hidráulica 6t (10m3) RS/RD de 2 Eixos - FORRAGEIRO - Molas, Freios e Pneus não Incluídos;Galo;25
