"Chave";"Código";"Nome";"Referência Principal";"Descrição Genérica";"Classe";"CRM";"Un";"Localização física";"Classificação Fiscal";"Procedência";"Modelo";"Eixo";"Mola Freio";"Cor";"Tamanho";"Rodado";"Pneu";"Outras Características";"Volume";"Bruto";"Líquido"
"70039323";"CBHM5000 GR SS T M20";"Carreta Hidráulica 5t (5m3) de Eixo Tandem - GRANELEIRA - Molas, Freios e Pneus não Incluídos";"614935M20";"Graneleira";"Carretas Basculantes hidráulicas";"T";"Un";;"8716.20.00";"Nacional - 0";"CBHM5000";"1E";"SS";"Laranja";;"TANDEM";;;0;"910";"900"
"70100717";"CBHM6000 UG SS T M20";"Carreta Hidráulica 7t (6m3) de Eixo Tandem - USO GERAL - Molas, Freios e Pneus não Incluídos";"619622M20";"Uso Geral";"Carretas Basculantes hidráulicas";"T";"Un";;"8716.20.00";"Nacional - 0";"CBHM6000";"1E";"SS";"Laranja";;"TANDEM";;;0;"1174";"1164"
"70127936";"CBHM5000 GR SC RD BE M17 AV";"Carreta Hidráulica 5t (5m3) RD de 1 Eixo - GRANELEIRA - C/ FREIO + BASE P/ ENSILADEIRA - AMARELA - Molas e Pneus não Incluídos";"621538M17AV";"Graneleira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBHM5000";"1E";"SC";"Amarela";;"RD";;"B. ENS.";0;"924";"914"
"70200370";"622647M20";"FA4,0 FIXA SS RD M20 (CHASSÍ COM RODAS PARA CARRETA AGRÍCOLA 4,0T)";"622647M20";"FA4,0 FIXA SS RD M20 (CHASSÍ COM RODAS PARA CARRETA AGRÍCOLA 4,0T)";"Carretas Agrícolas de Madeira";;"Un";;"8716.90.90";"Nacional - 0";;;;;;;;;0;"232";"232"
"70363570";"CBHM6000 UG SS RD P750(R) M17";"Carreta Hidráulica 7t (6m3) RD de 1 Eixo - USO GERAL - C/ PNEUS 750(R) - Molas e Freios não Incluídos";"622672M17";"Uso Geral";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBHM6000";"1E";"SS";"Laranja";;"RD";"750(R) - 750(R) (Un)";;0;"1160";"1150"
"70487667";"CBHM5000 GR SC T MM M20";"Carreta Hidráulica 5t (5m3) de Eixo Tandem - GRANELEIRA - C/ FREIOS + MANG MAIORES - Molas e Pneus não Incluídos";"622690M20";"Graneleira";"Carretas Basculantes hidráulicas";"T";"Un";;"8716.20.00";"Nacional - 0";"CBHM5000";"1E";"SC";"Laranja";;"TANDEM";;"MANG. MAIORES";0;"910";"900"
"70487773";"CBHM5000 GR SC T MM M20 VM";"Carreta Hidráulica 5t (5m3) de Eixo Tandem - GRANELEIRA - C/ FREIOS + MANG MAIORES - VERMELHA - Molas e Pneus não Incluídos";"622690M20VM";"Graneleira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBHM5000";"1E";"SC";"Vermelha";;"TANDEM";;"MANG. MAIORES";0;"910";"900"
"70526950";"CBHM8000 SC RD BE M17";"Carreta Hidráulica 5t (8m3) RD de 1 Eixo - FORRAGEIRO - C/ FREIOS + BASE P/ ENSILADEIRA - Molas e Pneus não Incluídos";"622692M17";"Forrageira";"Carretas Basculantes hidráulicas";"T";"Un";;"8716.20.00";"Nacional - 0";"CBHM8000";"1E";"SC";"Laranja";;"RD";;"B. ENS.";0;"1024";"1014"
"70527136";"CBHM8000 SC RD BE M17 AN";"Carreta Hidráulica 5t (8m3) RD de 1 Eixo - FORRAGEIRO - C/ FREIOS + BASE P/ ENSILADEIRA - AZUL - Molas e Pneus não Incluídos";"622692M17AN";"Forrageira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBHM8000";"1E";"SC";"Azul";;"RD";;"B. ENS.";0;"1024";"1014"
"70598427";"CBHM5000 GR SS RD MM M17 VJ";"Carreta Hidráulica 5t (5m3) RD de 1 Eixo - GRANELEIRA - MANG MAIORES - VERDE - Molas, Freios e Pneus não Incluídos";"614972M17VJ";"Graneleira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBHM5000";"1E";"SS";"Verde";;"RD";;"MANG. MAIORES";0;"910";"900"
"70640582";"CBHM5000 GR SS T P750(R) M20";"Carreta Hidráulica 5t (5m3) de Eixo Tandem - GRANELEIRA - C/ PNEUS 750(R) - Molas e Freios não Incluídos";"622696M20";"Graneleira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBHM5000";"1E";"SS";"Laranja";;"TANDEM";"750(R) - 750(R) (Un)";;0;"910";"900"
